Date,Sentiment,Sentiment High,Sentiment Low,News Volume,News Buzz
16/02/2016,0,0,0,0,0
15/02/2016,0,0,0,0,0
14/02/2016,0,0,0,0,0
13/02/2016,0,0,0,0,0
12/02/2016,0,0,0,0,0
11/02/2016,0,0,0,0,0
10/02/2016,0,0,0,0,0
09/02/2016,0,0,0,0,0
08/02/2016,0,0,0,0,0
07/02/2016,0,0,0,0,0
06/02/2016,0,0,0,0,0
05/02/2016,0,0,0,0,0
04/02/2016,0,0,0,0,0
03/02/2016,0,0,0,0,0
02/02/2016,0,0,0,0,0
01/02/2016,0,0,0,0,0
31/01/2016,0,0,0,0,0
30/01/2016,0,0,0,0,0
29/01/2016,0,0,0,0,0
28/01/2016,0,0,0,0,0
27/01/2016,0,0,0,0,0
26/01/2016,0,0,0,0,0
25/01/2016,0,0,0,0,0
24/01/2016,0,0,0,0,0
23/01/2016,0,0,0,0,0
22/01/2016,0,0,0,0,0
21/01/2016,0,0,0,0,0
20/01/2016,0,0,0,0,0
19/01/2016,0,0,0,0,0
18/01/2016,0,0,0,0,0
17/01/2016,0,0,0,0,0
16/01/2016,0,0,0,0,0
15/01/2016,0,0,0,0,0
14/01/2016,0,0,0,0,0
13/01/2016,0,0,0,0,0
12/01/2016,0,0,0,0,0
11/01/2016,0,0,0,0,0
10/01/2016,0,0,0,0,0
09/01/2016,0,0,0,0,0
08/01/2016,0,0,0,0,0
07/01/2016,0,0,0,0,0
06/01/2016,0,0,0,0,0
05/01/2016,0,0,0,0,0
04/01/2016,0,0,0,0,0
03/01/2016,0,0,0,0,0
02/01/2016,0,0,0,0,0
01/01/2016,0,0,0,0,0
31/12/2015,0,0,0,0,0
30/12/2015,0,0,0,0,0
29/12/2015,0,0,0,0,0
28/12/2015,0,0,0,0,0
27/12/2015,0,0,0,0,0
26/12/2015,0,0,0,0,0
25/12/2015,0,0,0,0,0
24/12/2015,0,0,0,0,0
23/12/2015,0,0,0,0,0
22/12/2015,0,0,0,0,0
21/12/2015,0,0,0,0,0
20/12/2015,0,0,0,0,0
19/12/2015,0,0,0,0,0
18/12/2015,0,0,0,0,0
17/12/2015,0,0,0,0,0
16/12/2015,0,0,0,0,0
15/12/2015,0,0,0,0,0
14/12/2015,0,0,0,0,0
13/12/2015,0,0,0,0,0
12/12/2015,0,0,0,0,0
11/12/2015,0,0,0,0,0
10/12/2015,0,0,0,0,0
09/12/2015,0,0,0,0,0
08/12/2015,-5,-3,-5,82,10
07/12/2015,-3,-1,-5,21,5
06/12/2015,-3,2,-5,7,10
05/12/2015,-3,1,-5,7,10
04/12/2015,-4,-1,-5,45,10
03/12/2015,-4,-1,-5,20,9
02/12/2015,-3,1,-5,19,9
01/12/2015,-2,2,-5,19,6
30/11/2015,-2,3,-5,18,4
29/11/2015,0,0,0,0,0
28/11/2015,-1,3,-4,7,5
27/11/2015,-1,4,-5,16,2
26/11/2015,0,0,0,0,0
25/11/2015,-3,1,-5,24,4
24/11/2015,-3,1,-5,22,3
23/11/2015,-2,2,-5,29,8
22/11/2015,-4,-2,-5,3,10
21/11/2015,-2,2,-5,18,8
20/11/2015,1,5,-3,60,10
19/11/2015,-2,3,-5,27,5
18/11/2015,-3,2,-5,17,3
17/11/2015,-1,3,-5,40,8
16/11/2015,-4,-1,-5,44,10
15/11/2015,-3,1,-5,16,7
14/11/2015,-2,3,-5,6,6
13/11/2015,-4,-1,-5,50,10
12/11/2015,-2,2,-5,4,0
11/11/2015,-4,-1,-5,37,4
10/11/2015,-2,2,-5,33,4
09/11/2015,2,5,-3,4,3
08/11/2015,1,4,-3,13,3
07/11/2015,-4,-2,-5,9,2
06/11/2015,-1,4,-5,28,3
05/11/2015,-2,2,-5,25,3
04/11/2015,-2,2,-5,22,2
03/11/2015,-1,4,-4,28,3
02/11/2015,-3,1,-5,28,5
